以下是安卓权限的说明：
READ_CALENDAR 读取日历
WRITE_CALENDAR 编辑日历
READ_CALL_LOG 读取通话记录
WRITE_CALL_LOG 编辑通话记录
PROCESS_OUTGOING_CALLS 监控呼出电话
CAMERA 拍摄
READ_CONTACTS 读取通讯录
WRITE_CONTACTS 编辑通讯录
GET_ACCOUNTS 获取App账户
ACCESS_FINE_LOCATION 访问精准定位
ACCESS_COARSE_LOCATION 访问粗略位置
ACCESS_BACKGROUND_LOCATION 支持后台访问位置
RECORD_AUDIO 录音
READ_PHONE_STATE 读取电话状态
READ_PHONE_NUMBERS 读取本机电话号码
CALL_PHONE 拨打电话
ANSWER_PHONE_CALLS 接听电话
ADD_VOICEMAIL 添加语音邮件
USE_SIP 使用网络电话
ACCEPT_HANDOVER 继续进行来自其他App的通话
BODY_SENSORS 获取身体传感器信息
SEND_SMS 发送短信
RECEIVE_SMS 接收短信
READ_SMS 读取短信
RECEIVE_WAP_PUSH 接收WAP推送
RECEIVE_MMS 接收彩信
READ_EXTERNAL_STORAGE 读取外置存储器
WRITE_EXTERNAL_STORAGE 写入外置存储器
ACCESS_MEDIA_LOCATION 读取照片位置信息
ACTIVITY_RECOGNITION 识别身体活动
